Class_ID,Folder_Name,Waste_Type,Crop,Crop_Category,Waste_Category,Cellulose_Percent,Hemicellulose_Percent,Lignin_Percent,Sugar_Content_Percent,Ash_Percent,Moisture_Percent_Typical,Ethanol_Suitability,Ethanol_Potential,Biogas_Suitability,Biogas_Potential,Briquette_Suitability,Briquette_Potential,Compost_Suitability,Compost_Potential,Vermicompost_Suitability,Vermicompost_Potential,Mushroom_Suitability,Mushroom_Potential,Recommended_Pathway,Alternative_Pathway,Recommendation_Reason,Data_Source_Type,Data_Confidence
14,banana_leaf,Banana Leaf,Banana,Horticulture (Fruits),Field Residue (Leaves),26.0,20.0,16.0,5.0,11.0,72.0,Medium,Medium,High,High,Low,Low,Very High,Very High,Very High,Very High,Medium,Medium,Vermicompost,Biogas,High organic nitrogen and rapid decomposition rate make it prime feedstock for vermicomposting and bio-manure generation.,Research Literature Standard,High
15,tobacco_stalk,Tobacco Stalk,Tobacco,Cash Crops,Field Residue (Woody Stalk),36.0,18.0,23.0,1.0,7.0,14.0,Medium,Medium,Low,Low,Very High,Very High,Low,Low,Low,Low,Low,Low,Briquettes/Pellets,Ethanol,High alkaloid/nicotine trace residues rule out animal feed and vermicompost; dense lignified structure makes it well-suited for industrial fuel briquettes.,Research Literature Standard,High
16,pulse_residue,Pulse Residue,Pulses (Redgram/Bengalgram),Pulses,Field Residue (Stalks/Pods),34.0,19.0,20.0,2.5,6.0,12.0,Medium,Medium,Medium,Medium,High,High,High,High,High,High,Medium,Medium,Briquettes/Pellets,Compost,Woody redgram stalks are excellent for gasifier briquettes; nitrogen-rich leaf/pod fractions serve well in soil rejuvenation composting.,Research Literature Standard,High
17,soybean_residue,Soybean Residue,Soybean,Oilseeds,Field Residue (Straw/Husk),37.0,21.0,16.5,3.0,6.5,13.0,High,High,Medium,Medium,High,High,High,High,High,High,High,High,Ethanol,Mushroom Cultivation,Favorable holocellulose fraction (58%) with moderate lignin makes it responsive to mild enzymatic hydrolysis for biofuel ethanol.,Research Literature Standard,High
18,sunflower_residue,Sunflower Residue,Sunflower,Oilseeds,Field Residue (Stalk/Head),35.0,20.0,18.0,2.0,8.0,14.0,Medium,Medium,Medium,Medium,High,High,Medium,Medium,Medium,Medium,Medium,Medium,Briquettes/Pellets,Ethanol,High fibrous bulk and porous stalk core make it ideal for mechanical compaction into solid biofuel logs and pellets.,Research Literature Standard,High
19,turmeric_residue,Turmeric Residue,Turmeric,Spices & Condiments,Field/Processing Residue,30.0,18.0,17.0,4.0,7.5,22.0,Low,Low,High,High,Medium,Medium,High,High,High,High,Low,Low,Compost,Biogas,Contains natural antimicrobial curcumoids which benefit soil health when composted; moderate moisture supports co-digestion biogas.,Research Literature Standard,High
20,mango_waste,Mango Waste,Mango,Horticulture (Fruits),Processing Residue (Peel/Kernel),22.0,15.0,10.0,28.0,4.0,68.0,Very High,Very High,Very High,Very High,Low,Low,Medium,Medium,Medium,Medium,Low,Low,Ethanol,Biogas,High soluble fermentable sugar content (28% dry basis) in peels allows direct 1G/1.5G yeast fermentation into bioethanol with minimal pretreatment.,Research Literature Standard,High
21,coconut_husk,Coconut Husk,Coconut,Plantation Crops,Agro-industrial Residue (Husk/Coir),35.0,14.0,38.0,0.5,3.0,20.0,Low,Low,Low,Low,Very High,Very High,Low,Low,Low,Low,Medium,Medium,Briquettes/Pellets,Industrial Biomass Use,"Ultra-high lignin (38%) provides immense durability, thermal stability, and calorific value for coir briquetting and high-carbon biochar.",Research Literature Standard,High
22,coconut_shell,Coconut Shell,Coconut,Plantation Crops,Agro-industrial Residue (Shell),34.0,12.0,48.0,0.2,2.0,10.0,Low,Low,Low,Low,Very High,Very High,Low,Low,Low,Low,Low,Low,Briquettes/Pellets,Industrial Biomass Use,Highest natural lignin concentration (48%) among agri-wastes; creates premium metallurgical-grade charcoal and dense high-energy fuel briquettes.,Research Literature Standard,High
23,vegetable_residue,Vegetable Residue,Mixed Vegetables,Horticulture (Vegetables),Mandi/Farm Residue,14.0,11.0,5.0,16.0,9.0,85.0,Low,Low,Very High,Very High,Low,Low,Very High,Very High,Very High,Very High,Low,Low,Biogas,Compost,High moisture (85%) and readily biodegradable volatile solids produce rapid methane generation in anaerobic digestion units.,Research Literature Standard,High
24,unknown_other,Unknown / Other,Unknown,Uncategorized,Unclassified Material,0.0,0.0,0.0,0.0,0.0,0.0,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Additional Assessment Required,Field Verification,Confidence threshold below 70% or unclassified material; requires farmer clarification or physical laboratory verification.,Research Literature Standard,High
